sample_idx,original_prediction,baseline_prediction,predicted_class,r2_mean,r2_std,deletion_auc_positive,insertion_auc_positive,gap_auc_positive,n_positive_segments,error
0,0.0083332080394029,0.0084176491945981,0,-0.0185232641596502,0.0135909310041459,,,,0,
1,0.9999997615814208,0.0084176491945981,1,-1.9652588775992637,2.2712966520892346,0.3139597804990905,0.9214745140634476,0.6075147335643571,19,
2,0.0080961529165506,0.0084176491945981,0,0.0676789312836006,0.1042907041348467,0.0083116926252841,0.0082411151379346,-7.057748734951019e-05,1,
3,0.9953581690788268,0.0084176491945981,1,-1.1159441205753418,0.8931340208087748,0.0276769167129017,0.9720772604147594,0.9444003437018575,18,
4,0.0179618280380964,0.0084176491945981,0,-1.1370864102084255,1.48953630267787,0.917167700434986,0.0150972867237502,-0.9020704137112356,19,
5,0.0231906473636627,0.0084176491945981,0,-0.8997262899835249,0.7429746530745045,0.9577370802561442,0.0621497038190236,-0.8955873764371206,15,
6,0.9994326233863832,0.0084176491945981,1,-0.7724504587896366,0.4930076722584371,0.2825400967747992,0.9219481184592714,0.6394080216844722,23,
7,0.0082261366769671,0.0084176491945981,0,0.0192123241094376,0.1052710959524517,0.008573065046221,0.0080996267497539,-0.000473438296467,2,
8,0.0268179848790168,0.0084176491945981,0,-0.5024927294964471,0.3924990223336427,0.8594921380281448,0.002208928375587,-0.8572832096525578,17,
9,0.9999997615814208,0.0084176491945981,1,-0.7536865885587923,0.3613700785338298,0.079188811721192,0.9737882018089294,0.8945993900877374,19,
10,0.999998927116394,0.0084176491945981,1,-1.6244379074880484,1.2105387358701003,0.0312562157753522,0.7880611155705992,0.756804899795247,16,
11,0.0117888813838362,0.0084176491945981,0,-0.4451895314720557,0.3796119785154933,0.6694224872626364,0.0052038861067558,-0.6642186011558806,16,
12,0.9528260231018066,0.0084176491945981,1,-0.4235710326432144,0.4017507010527982,0.1049783146429123,0.964585372379848,0.8596070577369355,14,
13,0.0093944799154996,0.0084176491945981,0,-18.57339437057269,25.87872051599685,0.0867274849276457,0.0076838978122742,-0.0790435871153715,21,
14,0.0175896752625703,0.0084176491945981,0,-0.8767314209216746,0.6088781589729308,0.4171984313676754,0.017009526331094,-0.4001889050365813,12,
15,1.0,0.0084176491945981,1,-1.269304625414906,0.771104288591656,0.5205475352753369,0.9792803277571996,0.4587327924818626,24,
16,0.0118497302755713,0.0084176491945981,0,-1.645570408708012,3.9237744163760087,0.0488772162701934,0.0060218893922865,-0.0428553268779069,20,
17,0.0069445916451513,0.0084176491945981,0,-0.0572810313703855,0.4219530907644249,0.0317199686542153,0.0077140721130288,-0.0240058965411865,18,
18,0.0182564314454793,0.0084176491945981,0,-36.671622979766624,48.26916647602665,0.0168739215936511,0.0105491743739548,-0.0063247472196962,20,
19,1.0,0.0084176491945981,1,-0.575153558842154,0.1207445416174576,0.4077183799636822,0.9708357909146476,0.5631174109509655,17,
20,0.9863600134849548,0.0084176491945981,1,-0.5084525875987527,0.1458149803835733,0.1921849681484272,0.9676007453133078,0.7754157771648805,17,
21,0.9994807839393616,0.0084176491945981,1,-0.2512021723846743,0.4622848031005757,0.0268342236155459,0.9719439368498952,0.9451097132343492,19,
22,0.0248359758406877,0.0084176491945981,0,-1.002664957236722,0.6699721729863302,0.8518510271648043,0.013702048696072,-0.8381489784687323,19,
23,0.9999997615814208,0.0084176491945981,1,-0.1498302547129824,0.1512207159025269,0.0251486425360723,0.9318068125285208,0.9066581699924484,22,
24,0.9999998807907104,0.0084176491945981,1,-0.4404619718142981,0.2658407936288409,0.0505715059616816,0.9751320123672484,0.9245605064055668,20,
25,0.0074139195494353,0.0084176491945981,0,0.1710522011601031,0.2040505103548721,0.0104130311784419,0.0064748167060315,-0.0039382144724103,11,
26,0.999923825263977,0.0084176491945981,1,-0.6003769639742492,0.462312579446091,0.0305899004818364,0.8994880520245608,0.8688981515427243,17,
27,0.0724024027585983,0.0084176491945981,0,-0.3764181627075945,0.3031842002358385,0.9212976545095444,0.0263265219672931,-0.8949711325422512,18,
28,1.0,0.0084176491945981,1,-1.4941579548733468,0.7665394909439881,0.7187500000536493,0.9674856066703796,0.2487356066167303,16,
29,0.0130052650347352,0.0084176491945981,0,-4.162588787868553,3.48254979259425,0.1367207614084085,0.0114404518778125,-0.1252803095305959,15,
30,0.0088047478348016,0.0084176491945981,0,-1.064778262851382,2.351704378027026,0.0418553178986677,0.0099499422626999,-0.0319053756359678,13,
31,0.0075724488124251,0.0084176491945981,0,0.2328741435677153,0.0718071867720443,0.009891963971313,0.0067812306806445,-0.0031107332906685,8,
32,0.0076857996173202,0.0084176491945981,0,0.3206975189407519,0.1047119669539953,0.0096848893112369,0.0068823298705475,-0.0028025594406894,7,
33,0.009448992088437,0.0084176491945981,0,-0.0730473248536087,0.931331747975451,0.2199060423847507,0.0043665070826297,-0.215539535302121,17,
34,0.008784526027739,0.0084176491945981,0,0.007578024026449,0.1292635191529401,0.0113153518177568,0.0083263559499755,-0.0029889958677813,8,
35,0.0081287138164043,0.0084176491945981,0,-0.0747023883897659,0.1082175686262481,,,,0,
36,0.919595181941986,0.0084176491945981,1,-1.2773175339059455,0.4895169758267106,0.082863054862524,0.9708353070651784,0.8879722522026543,17,
37,1.0,0.0084176491945981,1,-1.2153418462962933,0.8933945767319116,0.0238123948463947,0.6906766109064423,0.6668642160600475,21,
38,0.0095390183851122,0.0084176491945981,0,-1.1082951566740349,0.4235085080471032,0.8454315213020891,0.5206901004938231,-0.3247414208082659,16,
39,0.7744925618171692,0.0084176491945981,1,-0.6913775051381429,0.4869762675085037,0.0453543736762452,0.7084678816670357,0.6631135079907905,19,
40,0.0122842686250805,0.0084176491945981,0,-0.848740322590289,0.4460542652551899,0.8220157269388437,0.1341946361819282,-0.6878210907569156,20,
41,0.0842032060027122,0.0084176491945981,0,-0.8637774098164368,0.5883010757034458,0.9172494371732076,0.0014439941394812,-0.9158054430337264,15,
42,1.0,0.0084176491945981,1,-0.8833569824224199,0.2997505191938737,0.0217401213360742,0.8480376741575564,0.8262975528214821,23,
43,1.0,0.0084176491945981,1,-0.6379040099724461,0.2943091646242088,0.0762462427741602,0.8225562002244454,0.7463099574502852,19,
44,1.0,0.0084176491945981,1,-0.9715655749234342,0.6225583974219062,0.124875516893443,0.969013050198555,0.844137533305112,16,
45,1.0,0.0084176491945981,1,-0.6103245422797456,0.4927067135345664,0.0233830324249564,0.8871252835643563,0.8637422511393998,22,
46,0.2508697211742401,0.0084176491945981,0,-0.5100074277867455,0.3150432387436478,0.9282342791557312,0.0011796193651704,-0.9270546597905608,14,
47,0.0079506812617182,0.0084176491945981,0,0.2574786082363731,0.2452727607710274,0.0098712664718429,0.0073876171890232,-0.0024836492828196,9,
48,0.9999998807907104,0.0084176491945981,1,-0.8777111710197187,0.2058419097370572,0.0277777744664501,0.9169004902554057,0.8891227157889554,18,
49,0.1032646894454956,0.0084176491945981,0,-0.817575813951876,0.6532736242314786,0.9618216639473324,0.5523109539876714,-0.4095107099596611,21,
50,0.9999622106552124,0.0084176491945981,1,-0.3618207390749149,0.7033102843518727,0.0312523030681176,0.969013050198555,0.9377607471304372,16,
51,0.2329295426607132,0.0084176491945981,0,-0.5862719877400531,0.6465488366938449,0.978692458735572,0.0004425300664641,-0.9782499286691078,18,
52,1.0,0.0084176491945981,1,-0.3997237010819551,0.1984263103831456,0.1041666666666666,0.8965066436794586,0.792339977012792,24,
53,0.2242033332586288,0.0084176491945981,0,-0.7102365504945058,0.4238310126386164,0.8976262632538291,0.0016773245421491,-0.8959489387116799,17,
54,0.0080090947449207,0.0084176491945981,0,0.3376735245776673,0.2072337298006219,0.0221999599908789,0.0059068032850821,-0.0162931567057967,15,
55,0.9999998807907104,0.0084176491945981,1,-0.5894890006847227,0.6476743104070221,0.2479827468742827,0.7361546684089049,0.4881719215346221,17,
56,0.0310380365699529,0.0084176491945981,0,-0.9483358912557392,0.3201148737481757,0.366375849386187,0.0495968425067602,-0.3167790068794267,19,
57,0.0082065416499972,0.0084176491945981,0,0.0254766872003541,0.1073984169506638,0.0088632873569925,0.0081329305345813,-0.0007303568224112,3,
58,0.9999885559082032,0.0084176491945981,1,-0.4878044851039593,0.5168460765928916,0.0454540256622778,0.95492807301608,0.909474047353802,11,
59,0.0142023628577589,0.0084176491945981,0,-0.759827855845111,0.5865957771818953,0.8800267547369003,0.0127570351636677,-0.8672697195732325,20,
60,0.9999587535858154,0.0084176491945981,1,-0.4044574448021244,0.4429373102108508,0.0368381072167003,0.7819571473768779,0.7451190401601776,14,
61,1.0,0.0084176491945981,1,-0.5241936384325367,0.3984430404063596,0.029411765681399,0.9708358119515812,0.9414240462701822,17,
62,0.4637811481952667,0.0084176491945981,0,-9.331738210979264,18.44466784560787,0.9271828134854636,0.0499811242075844,-0.8772016892778791,18,
63,0.009203128516674,0.0084176491945981,0,-1.1750546664299613,1.2350799329227855,0.0210284894797951,0.0104295405559241,-0.0105989489238709,20,
